i38,e10,c1,p01,l4,434
i06,e10,c5,p07,l3,3340
i38,e10,c1,p08,l3,194
i38,e10,c1,p32,l4,68
i06,e08,c3,p14,l2,11615
i06,e10,c3,p07,l3,47
i02,e08,c1,p17,l3,25
i06,e08,c5,p28,l2,11721
i06,e01,c5,p24,l3,12
i05,e06,c1,p29,l3,1
i06,e07,c5,p16,l2,11754
i06,e08,c3,p03,l2,11614
i06,e12,c5,p09,l3,21
i46,e08,c1,p25,l3,2
i06,e12,c5,p12,l3,44
i38,e10,c4,p12,l2,11614
i12,e08,c5,p11,l3,5
i34,e04,c5,p14,l3,4
i06,e11,c5,p25,l2,11624
i38,e10,c1,p19,l1,11623
i17,e04,c5,p12,l3,4
i02,e09,c1,p08,l3,6
i38,e12,c1,p19,l3,2
i02,e04,c1,p04,l3,2
i46,e06,c1,p21,l3,1
i02,e09,c1,p13,l3,5
i25,e03,c5,p19,l3,1
i38,e12,c1,p17,l3,1
i01,e01,c1,p35,l3,1
i42,e05,c5,p14,l3,2
i14,e13,c5,p12,l3,1
i14,e08,c5,p04,l3,2
i03,e04,c5,p12,l3,1
i06,e10,c5,p32,l4,85
i06,e10,c5,p24,l3,3386
i06,e10,c5,p08,l3,1525
i38,e10,c1,p26,l3,80
i02,e01,c1,p19,l3,61
i06,e11,c5,p07,l2,11712
i06,e10,c5,p13,l1,11627
i06,e11,c5,p14,l2,11690
i26,e11,c1,p35,l3,2
i06,e07,c5,p23,l2,11627
i02,e09,c1,p18,l3,9
i02,e04,c1,p35,l3,5
i46,e01,c4,p35,l3,21
i38,e10,c4,p11,l4,15
i16,e08,c5,p01,l3,19
i14,e08,c5,p26,l3,1
i05,e04,c1,p35,l3,2
i38,e01,c1,p33,l3,5
i06,e10,c3,p07,l4,9
i38,e09,c1,p19,l2,11619
i38,e10,c1,p18,l2,11616
i38,e12,c1,p29,l3,1
i05,e06,c1,p04,l3,1
i34,e04,c5,p04,l3,1
i34,e01,c5,p15,l3,2
i05,e07,c1,p18,l3,4
i05,e06,c1,p18,l3,1
i05,e08,c1,unknown,l3,2
i38,e10,c1,p23,l3,413
i06,e10,c5,p14,l3,1694
i38,e10,c1,p13,l4,531
i02,e08,c1,p19,l3,142
i06,e12,c5,p16,l3,72
i38,e08,c1,p19,l2,11690
i06,e10,c5,p23,l4,120
i38,e10,c1,p18,l3,571
i06,e10,c5,p19,l2,11641
i02,e08,c1,p04,l3,13
i14,e08,c5,p21,l3,16
i38,e11,c1,p11,l2,11643
i06,e11,c5,p29,l2,11647
i02,e04,c1,p12,l3,20
i02,e09,c1,p07,l3,3
i17,e08,c5,p04,l3,1
i06,e12,c5,p04,l3,12
i02,e09,c1,p35,l3,3
