i06,e08,c5,p25,l2,569
i17,e01,c5,p05,l3,15
i06,e08,c5,p04,l2,2032
i38,e10,c1,p23,l3,6488
i06,e10,c5,p35,l3,21265
i38,e09,c1,p10,l2,3131
i17,e08,c5,p17,l3,68
i06,e10,c5,p08,l3,11983
i06,e10,c5,p16,l4,6411
i06,e10,c5,p04,l3,21241
i06,e10,c5,p25,l4,3724
i17,e09,c5,p10,l3,86
i38,e04,c1,p07,l1,2892
i06,e09,c5,p13,l2,49
i05,e12,c1,p05,l3,2845
i02,e04,c1,p14,l3,2939
i02,e01,c1,p35,l3,2917
i38,e06,c1,p09,l3,3028
i06,e10,c5,p23,l2,22
i13,e08,c5,p12,l3,25
i38,e11,c1,p05,l2,3000
i34,e03,c5,p11,l3,128
i17,e11,c5,p15,l3,33
i14,e08,c5,p20,l3,18
i38,e01,c1,p01,l3,2903
i06,e12,c5,p14,l3,259
i02,e09,c1,p23,l3,2856
i38,e12,c1,p29,l3,2849
i13,e11,c5,p25,l3,14
i06,e10,c3,p18,l4,2854
i16,e09,c5,p11,l3,4
i34,e08,c5,p14,l3,6
i14,e11,c5,p01,l3,8
i17,e09,c5,p22,l3,14
i13,e08,c5,p06,l3,2
i14,e08,c5,p24,l3,122
i43,e08,c1,p07,l3,2854
i38,e10,c1,p07,l1,2863
i38,e01,c1,p24,l3,2867
i41,e08,c1,p08,l3,2853
i23,e04,c5,p03,l3,4
i38,e09,c1,p20,l2,2846
i17,e01,c5,p14,l3,4
i06,e08,c3,p35,l2,45
i07,e12,c5,p13,l3,4
i21,e03,c1,p03,l3,2844
i03,e08,c5,p13,l3,6
i05,e08,c1,p09,l3,2849
i38,e08,c4,p21,l2,16
i48,e11,c1,p03,l3,2847
i38,e01,c1,p09,l3,2850
i46,e01,c1,p11,l3,2846
i14,e01,c5,p17,l3,1
i06,e04,c3,p32,l1,4
i43,e03,c1,p10,l3,2844
i05,e04,c1,p17,l3,2851
i17,e01,c5,p20,l3,2
i06,e10,c3,p09,l4,2855
i21,e03,c1,p29,l3,2844
i34,e01,c5,p04,l3,10
i06,e05,c5,p14,l1,4
i27,e01,c5,p29,l3,3
i41,e01,c1,p29,l3,2845
i30,e04,c1,p22,l3,2847
i06,e02,c5,p05,l1,2
i02,e05,c1,p04,l3,2845
i03,e01,c5,p24,l3,1
i05,e06,c1,p02,l3,2844
i06,e05,c5,p28,l1,1
i34,e09,c5,p14,l3,1
i14,e04,c5,p21,l3,1
i29,e09,c5,p35,l3,2
i05,e12,c1,p08,l3,2844
i14,e08,c3,p17,l3,1
i39,e01,c5,p31,l3,1
i42,e05,c5,p01,l3,1
i32,e11,c5,p07,l3,2
i02,e08,c1,p13,l3,3941
i06,e08,c5,p06,l2,1288
i06,e12,c5,p01,l3,1247
i06,e10,c5,p29,l3,22572
i17,e04,c5,p21,l3,68
i06,e10,c5,p16,l3,42049
i38,e01,c1,p19,l3,3032
i17,e04,c5,p11,l3,131
i17,e09,c5,p17,l3,20
i06,e12,c5,p35,l3,230
i02,e04,c1,p19,l3,3968
i06,e08,c3,p23,l2,22
i34,e08,c5,p18,l3,19
i46,e11,c1,p10,l3,3176
i41,e01,c1,p12,l3,2847
i06,e10,c5,p18,l2,79
i43,e09,c1,p35,l3,2870
i12,e09,c5,p19,l3,4
i05,e03,c1,p13,l3,2845
i38,e10,c4,p19,l3,235
i21,e04,c1,p10,l3,2875
i30,e04,c1,p29,l3,2865
i34,e03,c5,p15,l3,125
i38,e12,c1,p13,l3,2865
i30,e09,c1,p10,l3,2903
i50,e04,c1,p35,l3,2846
i38,e10,c1,p17,l2,2888
i46,e11,c1,p09,l3,2855
i14,e04,c5,p07,l3,33
i07,e08,c5,p35,l3,57
i18,e09,c1,p35,l3,2856
i16,e01,c5,p24,l3,12
i06,e08,c5,p30,l2,16
i02,e09,c1,p32,l3,2846
i12,e08,c5,p13,l3,16
i06,e10,c5,p30,l4,2907
i16,e04,c5,p04,l3,3
i38,e10,c1,p29,l2,2861
i01,e08,c1,p24,l3,2846
i19,e03,c5,p10,l3,7
i38,e11,c1,p26,l2,2848
i17,e09,c5,p13,l3,4
i38,e10,c4,p26,l4,5695
i06,e10,c3,p22,l4,2846
i38,e10,c4,p18,l4,2860
i21,e03,c1,p09,l3,2848
i41,e07,c1,p10,l3,2856
i17,e04,c5,p02,l3,19
i39,e01,c5,p25,l3,2
i23,e04,c5,p20,l3,6
i14,e11,c5,p14,l3,2
i27,e04,c5,p16,l3,4
i41,e01,c1,p05,l3,2844
i67,e04,c5,p29,l3,5
i01,e11,c1,p01,l3,2845
i01,e01,c1,p29,l3,2844
i67,e09,c5,p01,l3,5
i17,e11,c5,p09,l3,8
i38,e10,c1,unknown,l3,2847
i46,e08,c1,p15,l3,2844
i01,e08,c1,p14,l3,2844
i38,e10,c4,p13,l2,2
i06,e05,c5,p11,l1,1
i06,e02,c5,p19,l1,2
i38,e10,c1,p28,l1,2848
i06,e02,c5,p08,l1,1
i30,e01,c1,p14,l3,2844
i38,e05,c1,p17,l1,2845
i39,e01,c5,p16,l3,4
i07,e12,c5,p16,l3,1
i23,e08,c5,p32,l3,1
i05,e03,c1,p06,l3,2844
i05,e03,c1,p21,l3,2844
i41,e07,c1,p24,l3,2844
i05,e08,c1,p04,l3,2844
i49,e06,c1,p35,l3,2844
i25,e03,c5,p35,l3,2
i41,e01,c1,p08,l3,2844
i06,e09,c5,p09,l2,57
i06,e08,c5,p01,l2,3409
i38,e10,c1,p18,l3,9352
